ranking,proveedor,monto_total,pct_del_total,acumulado_pct
355,SMART GLOBAL - GST,30448856.88,0.042,46.666
356,CONSORCIO CACERES,30313792.68,0.042,46.708
357,CONSORCIO WAYS VIALES,30271659.36,0.042,46.75
358,CYMTEL S.A.C.,30105497.22,0.042,46.792
359,IMPERIA SOLUCIONES TECNOLOGICAS S.A.C.,30102440.0,0.042,46.834
360,TERRASOFT CONTRATISTAS S.A.C.,30010305.33,0.042,46.876
361,OFICINA DE LAS NACIONES UNIDAS DE SERVICIOS PARA PROYECTOS - UNOPS,29994384.68,0.042,46.918
362,CONSROCIO PERU BIRF,29938987.56,0.041,46.959
363,CONSORCIO EJECUTOR LAGUNA,29762022.01,0.041,47.0
364,CONSORCIO VIAL SAMUGARI,29674421.13,0.041,47.041
365,CONSORCIO MIGUEL GRAU,29615016.04,0.041,47.082
366,H REPS S.A.C.,29590419.76,0.041,47.123
367,CONSORCIO SONDA DEL PERÚ S.A. ¿ SONDA S.A,29544053.93,0.041,47.164
368,CORPORACION PLEYADES SOCIEDAD ANONIMA CERRADA,29440228.67,0.041,47.205
369,GRUPO EMPRESARIAL VISION COMPARTIDA SOCIEDAD ANONIMA CERRADA - GEVICOM S.A.C.,29407686.86,0.041,47.246
370,CONSORCIO WAYKA,29327044.38,0.041,47.287
371,CONSORCIO VIAL MINASCUCHO,29274942.58,0.041,47.328
372,CONSORCIO ACCIONA CHILCA,29267111.6,0.041,47.369
373,CONSORCIO DON JUAN,28957958.53,0.04,47.409
